step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
100,32800,800,0.3243670731847563,0.25,0.851063829787234,,,
101,33192,808,0.16516306099063058,0.5,0.875,,,
102,33392,816,0.1812963066198033,0.5,0.8974358974358975,,,
103,33848,824,0.16987447190079888,0.625,0.92,,,
104,34112,832,0.1793620070060683,0.5,0.8571428571428571,,,
105,34376,840,0.23623471825657133,0.125,0.875,,,
106,34896,848,0.13625621847697575,0.625,0.9215686274509803,,,
107,35288,856,0.1183139638596875,0.625,0.9333333333333333,,,
108,35680,864,0.1459566373653928,0.0,0.819672131147541,,,
109,36072,872,0.14216327518614472,0.625,0.9473684210526315,,,
110,36336,880,0.15846146422840093,0.5,0.9090909090909091,,,
111,36664,888,0.13587379959807322,0.375,0.9137931034482759,,,
112,37056,896,0.11967518766006531,0.625,0.9361702127659575,,,
113,37320,904,0.21874563094596627,0.5,0.9,,,
114,37584,912,0.22973608400864406,0.25,0.8775510204081632,,,
115,37976,920,0.17261713457046615,0.25,0.918918918918919,,,
116,38304,928,0.18849678491456873,0.125,0.864406779661017,,,
117,38568,936,0.14381371652699856,0.625,0.9516129032258065,,,
118,38832,944,0.20177527590681166,0.5,0.8888888888888888,,,
119,39032,952,0.20559789809503473,0.5,0.9148936170212766,,,
120,39552,960,0.13570968237155298,0.375,0.8269230769230769,,,
121,39880,968,0.15395966342976466,0.375,0.8771929824561403,,,
122,40144,976,0.1641208509419194,0.375,0.8809523809523809,,,
123,40472,984,0.18693887527878272,0.0,0.864406779661017,,,
124,40736,992,0.15198082933214466,0.875,0.9565217391304348,,,
125,41256,1000,0.13297331389780426,0.5,0.9090909090909091,,,
126,41648,1008,0.13167122991695804,0.75,0.9516129032258065,,,
127,41976,1016,0.14570032274512643,0.75,0.9090909090909091,,,
128,42240,1024,0.18514041944180235,0.625,0.875,,,
129,43016,1032,0.11119101971990991,0.5,0.9230769230769231,,,
130,43408,1040,0.15096443306189591,0.375,0.8888888888888888,,,
131,43736,1048,0.2067573891123482,0.375,0.8627450980392157,,,
132,43936,1056,0.25945550948030327,0.25,0.8372093023255814,,,
133,44136,1064,0.27677798317520036,0.125,0.8085106382978723,,,
134,44400,1072,0.15806362221045306,0.5,0.9354838709677419,,,
135,44600,1080,0.18282040974735617,0.75,0.9642857142857143,,,
136,44800,1088,0.33587549542949285,0.125,0.8166666666666667,,,
137,45256,1096,0.15019956540372245,0.25,0.8421052631578947,,,
138,45712,1104,0.14352102858833943,0.125,0.8367346938775511,,,
139,46040,1112,0.16256866268345674,0.625,0.9322033898305084,,,
140,46304,1120,0.17057636637109114,0.25,0.8723404255319149,,,
141,46760,1128,0.08929594679902624,0.75,0.9583333333333334,,,
142,46960,1136,0.21719306487545967,0.625,0.9,,,
143,47224,1144,0.11911964501619537,0.625,0.9508196721311475,,,
144,47552,1152,0.18840357069095717,0.375,0.8695652173913043,,,
145,47816,1160,0.10788340779996587,1.0,1.0,,,
146,48144,1168,0.13263735926108214,0.625,0.9454545454545454,,,
147,48344,1176,0.16255243970085756,0.875,0.9767441860465116,,,
148,48672,1184,0.1732331587639328,0.625,0.9302325581395349,,,
149,48872,1192,0.18925195112612983,0.875,0.9761904761904762,,,
150,49072,1200,0.24289311408317646,0.625,0.8979591836734694,,,
151,49336,1208,0.15333410596608132,0.5,0.9310344827586207,,,
152,49728,1216,0.12758575664588248,0.625,0.9285714285714286,,,
153,50248,1224,0.11792914683191072,0.375,0.8636363636363636,,,
154,50576,1232,0.13890622628217558,0.5,0.9166666666666666,,,
155,51288,1240,0.09020954007319427,0.625,0.9,,,
156,51552,1248,0.1706719054568488,0.5,0.9152542372881356,,,
157,51752,1256,0.21836481310411196,0.25,0.8823529411764706,,,
158,52208,1264,0.11529198275469689,0.5,0.9245283018867925,,,
159,52472,1272,0.1388924987175372,0.75,0.9534883720930233,,,
160,52736,1280,0.10309214974064106,0.625,0.9444444444444444,,,
161,53064,1288,0.16071239163118495,0.5,0.9344262295081968,,,
162,53264,1296,0.15167422437420916,0.75,0.9642857142857143,,,
163,53592,1304,0.14103264376890137,0.5,0.8947368421052632,,,
164,54048,1312,0.13384060331392786,0.625,0.9285714285714286,,,
165,54440,1320,0.10640717108230481,0.875,0.9772727272727273,,,
166,54640,1328,0.21289658760371707,0.625,0.9148936170212766,,,
167,54968,1336,0.11732379905162135,0.625,0.921875,,,
168,55168,1344,0.16294989687873548,0.625,0.95,,,
169,55368,1352,0.15897547846339158,0.5,0.9245283018867925,,,
170,55632,1360,0.17440169357206053,0.375,0.9019607843137255,,,
171,56024,1368,0.13251003081940052,0.625,0.9347826086956522,,,
172,56416,1376,0.14848887605802807,0.625,0.9333333333333333,,,
173,56808,1384,0.07617899505315602,0.875,0.98,,,
174,57136,1392,0.13698903479319724,0.375,0.9152542372881356,,,
175,57336,1400,0.20748554029627256,0.75,0.9512195121951219,,,
176,57664,1408,0.21317009630980382,0.625,0.9230769230769231,,,
177,58248,1416,0.09860068591849605,0.5,0.8888888888888888,,,
178,58704,1424,0.10685495214615182,0.5,0.9074074074074074,,,
179,59160,1432,0.09084974040871248,0.75,0.9701492537313433,,,
180,59424,1440,0.19940533482555906,0.5,0.851063829787234,,,
181,59880,1448,0.10828519639071602,0.375,0.8958333333333334,,,
182,60400,1456,0.10408212665111023,0.625,0.9361702127659575,,,
183,60728,1464,0.11819490447459886,0.875,0.9787234042553191,,,
184,60992,1472,0.14136548425865314,0.75,0.9607843137254902,,,
185,61384,1480,0.12843470999956755,0.5,0.9245283018867925,,,
186,61584,1488,0.1414233677896296,0.75,0.9615384615384616,,,
187,61848,1496,0.13188593913455407,0.75,0.9591836734693877,,,
188,62176,1504,0.1228055258698896,0.75,0.9692307692307692,,,
189,62568,1512,0.11464942424147158,0.75,0.9636363636363636,,,
190,62960,1520,0.12688691434153437,0.75,0.9666666666666667,,,
191,63352,1528,0.12040274715060993,0.375,0.9305555555555556,,,
192,63616,1536,0.17965204875937102,0.25,0.8367346938775511,,,
193,63944,1544,0.0895951584874547,0.75,0.9655172413793104,,,
194,64272,1552,0.1423798795747655,0.5,0.9298245614035088,0.13213795383595653,0.625,0.92
195,64728,1560,0.11315081269355941,0.5,0.9166666666666666,,,
196,64992,1568,0.14033834609642212,0.625,0.9464285714285714,,,
197,65256,1576,0.13977247639121373,0.5,0.9215686274509803,,,
198,65776,1584,0.12024846406676418,0.375,0.9090909090909091,,,
199,66232,1592,0.10665922843340638,0.625,0.9148936170212766,,,
200,66624,1600,0.11654902705639263,0.75,0.9615384615384616,,,
201,66888,1608,0.2042913983682382,0.5,0.9038461538461539,,,
202,67152,1616,0.12361801025976292,0.75,0.9444444444444444,,,
203,67416,1624,0.13785072440558396,0.75,0.9672131147540983,,,
204,67680,1632,0.15990197936839723,0.375,0.9090909090909091,,,
205,68008,1640,0.12060357385827729,1.0,1.0,,,
206,68592,1648,0.11401475239037812,0.25,0.9016393442622951,,,
207,69240,1656,0.12097093212683718,0.5,0.9107142857142857,,,
208,69632,1664,0.16355431521626734,0.625,0.9193548387096774,,,
209,69832,1672,0.16628777433509756,0.625,0.9285714285714286,,,
210,70288,1680,0.10454959529018636,0.875,0.9791666666666666,,,
211,70488,1688,0.1878454334072406,0.5,0.8913043478260869,,,
212,70944,1696,0.09479902606982395,0.625,0.9344262295081968,,,
213,71272,1704,0.13419331697959477,0.75,0.9487179487179487,,,
214,71856,1712,0.10966671018915375,0.375,0.8823529411764706,,,
215,72056,1720,0.23224651087330508,0.5,0.8888888888888888,,,
216,72320,1728,0.13121972699009313,0.75,0.971830985915493,,,
217,72584,1736,0.120125740968399,0.75,0.9642857142857143,,,
218,72912,1744,0.0787867781744467,0.75,0.96,,,
219,73112,1752,0.15345087120691167,0.5,0.92,,,
220,73440,1760,0.12379318714925432,0.875,0.9787234042553191,,,
221,73832,1768,0.12309637701674729,0.75,0.9444444444444444,,,
222,74096,1776,0.15602300218979154,0.5,0.9333333333333333,,,
223,74360,1784,0.11375270103779228,0.5,0.9090909090909091,,,
224,74752,1792,0.16206176390820512,0.25,0.8703703703703703,,,
225,75208,1800,0.14376435497943957,0.25,0.851063829787234,,,
226,75664,1808,0.1223129750378215,0.625,0.9361702127659575,,,
227,75992,1816,0.16645966805971113,0.625,0.9571428571428572,,,
228,76256,1824,0.11788917051388098,0.75,0.9622641509433962,,,
229,76584,1832,0.14337439088213458,0.875,0.9803921568627451,,,
230,76848,1840,0.13364699886626,0.375,0.8979591836734694,,,
231,77176,1848,0.16788164379512235,0.5,0.9166666666666666,,,
232,77440,1856,0.14037066163886333,0.75,0.9423076923076923,,,
233,77704,1864,0.13879560396412957,0.5,0.9166666666666666,,,
234,78352,1872,0.06903787728077347,0.875,0.9777777777777777,,,
235,78808,1880,0.094939830024407,0.625,0.9571428571428572,,,
236,79008,1888,0.11110560899124478,1.0,1.0,,,
237,79336,1896,0.09753494849706328,0.625,0.9454545454545454,,,
238,79536,1904,0.15411293444784066,0.75,0.9555555555555556,,,
239,79992,1912,0.10197358405227712,0.5,0.9459459459459459,,,
240,80448,1920,0.12298486567994027,0.375,0.875,,,
241,80712,1928,0.10242597275542853,0.625,0.9565217391304348,,,
242,81040,1936,0.1385508089403413,0.625,0.9230769230769231,,,
243,81240,1944,0.16173741277549142,0.75,0.9523809523809523,,,
244,81568,1952,0.10273183158392216,0.625,0.9482758620689655,,,
245,81960,1960,0.08260251281180199,0.75,0.9565217391304348,,,
246,82160,1968,0.2247230324767647,0.5,0.9183673469387755,,,
247,82424,1976,0.15806437519799416,0.625,0.9375,,,
248,82624,1984,0.17001004798234287,0.625,0.925,,,
249,82888,1992,0.15243929893112523,0.75,0.9682539682539683,,,
250,83408,2000,0.07740348382749325,0.75,0.9534883720930233,,,
251,83672,2008,0.14643735846182082,0.625,0.9230769230769231,,,
252,83936,2016,0.1471745542241067,0.75,0.9387755102040817,,,
253,84264,2024,0.11080618033437988,0.625,0.94,,,
254,84528,2032,0.12654088031809713,0.875,0.9545454545454546,,,
255,84984,2040,0.11449378783888085,0.625,0.926829268292683,,,
256,85440,2048,0.11268002699266373,0.75,0.9615384615384616,,,
257,85896,2056,0.1065857644867135,0.625,0.9411764705882353,,,
258,86096,2064,0.17083220492660875,0.5,0.9344262295081968,,,
259,86424,2072,0.10949108920727384,0.625,0.9523809523809523,,,
260,86816,2080,0.09598796244245071,0.625,0.9423076923076923,,,
261,87336,2088,0.09755109562623332,0.75,0.9607843137254902,,,
262,87600,2096,0.1575619789341211,0.625,0.9433962264150944,,,
263,87864,2104,0.10378237421186132,1.0,1.0,,,
264,88256,2112,0.14681610181747734,0.625,0.9333333333333333,,,
265,88456,2120,0.19868567529701409,0.625,0.9302325581395349,,,
266,88720,2128,0.13678321041849728,0.625,0.9387755102040817,,,
267,89048,2136,0.13342997525865147,0.75,0.8974358974358975,,,
268,89440,2144,0.1037486564459544,0.625,0.953125,,,
269,89704,2152,0.14165872181066172,0.875,0.9811320754716981,,,
270,89968,2160,0.13201081912670068,0.625,0.9,,,
271,90488,2168,0.1106167638322468,0.75,0.9591836734693877,,,
272,90816,2176,0.13566250947654027,0.5,0.9230769230769231,,,
273,91144,2184,0.1410961624024078,0.5,0.8983050847457628,,,
274,91344,2192,0.18534880004213625,0.75,0.9375,,,
275,91928,2200,0.12191171849744428,0.25,0.85,,,
276,92128,2208,0.2376398566832131,0.5,0.8611111111111112,,,
277,92520,2216,0.0954863284734586,0.75,0.9649122807017544,,,
278,92912,2224,0.14004979943551585,0.625,0.9090909090909091,,,
279,93176,2232,0.1388279831477391,0.5,0.9242424242424242,,,
280,93440,2240,0.1092762912541673,0.875,0.9830508474576272,,,
281,93832,2248,0.13195823149818722,0.75,0.9661016949152542,,,
282,94096,2256,0.1164376457081751,0.75,0.9615384615384616,,,
283,94360,2264,0.14567641684791183,0.875,0.9565217391304348,,,
284,94560,2272,0.18996417106740374,0.625,0.8979591836734694,,,
285,94824,2280,0.11841491719575431,0.875,0.9824561403508771,,,
286,95024,2288,0.12412449004148345,0.875,0.9787234042553191,,,
287,95224,2296,0.19158881429855087,0.625,0.9318181818181818,,,
288,95552,2304,0.08922355593847897,0.75,0.9574468085106383,,,
289,95752,2312,0.14378231306296907,0.625,0.9433962264150944,,,
290,95952,2320,0.17190007491791068,0.625,0.9024390243902439,,,
291,96472,2328,0.08958616899885925,0.375,0.8780487804878049,0.09997471861147347,0.75,0.9583333333333334
292,96800,2336,0.10021425439973741,0.875,0.9782608695652174,,,
293,97192,2344,0.10966884102460579,0.375,0.9056603773584906,,,
294,97392,2352,0.18631536080836308,0.375,0.8979591836734694,,,
295,97784,2360,0.09008266933625797,0.875,0.9803921568627451,,,
296,98048,2368,0.1451103469954557,0.75,0.9636363636363636,,,
297,98504,2376,0.1107275042983068,0.75,0.9574468085106383,,,
298,98832,2384,0.14388894850098496,0.625,0.9333333333333333,,,
299,99096,2392,0.11261877499355179,0.75,0.9629629629629629,,,
300,99296,2400,0.2137550301719311,0.5,0.9130434782608695,,,
301,99752,2408,0.10232935379772438,0.75,0.9622641509433962,,,
302,100144,2416,0.12043335242685653,0.625,0.9516129032258065,,,
303,100536,2424,0.09394425033717689,0.75,0.9411764705882353,,,
304,100800,2432,0.11021357957766399,0.875,0.9814814814814815,,,
305,101064,2440,0.12354217945648073,0.625,0.9491525423728814,,,
306,101264,2448,0.23578963680634668,0.5,0.8813559322033898,,,
307,101528,2456,0.21804123156586855,0.375,0.9,,,
308,102048,2464,0.10663515445237694,0.625,0.9259259259259259,,,
309,102312,2472,0.09976548059463805,0.875,0.9777777777777777,,,
310,102512,2480,0.12098053403595373,0.875,0.9791666666666666,,,
311,102776,2488,0.12530635597618342,0.5,0.9090909090909091,,,
312,103168,2496,0.10348495857653646,0.625,0.94,,,
313,103432,2504,0.1363450350787275,0.625,0.925,,,
314,104336,2512,0.08337227319719764,0.875,0.9629629629629629,,,
315,104728,2520,0.13021108661998257,0.5,0.9180327868852459,,,
316,105120,2528,0.1009589530833969,0.375,0.9019607843137255,,,
317,105384,2536,0.13550124802934038,0.625,0.9482758620689655,,,
318,105648,2544,0.09344340724607889,0.875,0.9807692307692307,,,
319,105848,2552,0.1527070722365849,0.75,0.9615384615384616,,,
320,106112,2560,0.13404137873945637,0.5,0.9090909090909091,,,
321,106568,2568,0.10196256128239685,0.375,0.8837209302325582,,,
322,106896,2576,0.11721243456081538,0.75,0.9565217391304348,,,
323,107288,2584,0.15622836234898993,0.625,0.9375,,,
324,107488,2592,0.15452442000715888,0.875,0.9811320754716981,,,
325,107880,2600,0.08870975745508776,0.875,0.9818181818181818,,,
326,108080,2608,0.14837118246411857,0.75,0.9230769230769231,,,
327,108408,2616,0.10769125644227644,0.5,0.9298245614035088,,,
328,108736,2624,0.08997193190113421,0.875,0.9782608695652174,,,
329,109064,2632,0.1299365533087422,0.625,0.9423076923076923,,,
330,109392,2640,0.09669741193200053,0.75,0.9491525423728814,,,
331,109592,2648,0.17992546216142577,0.625,0.9310344827586207,,,
332,109920,2656,0.15493190757693695,0.625,0.9347826086956522,,,
333,110248,2664,0.09383421929282577,0.625,0.9318181818181818,,,
334,110576,2672,0.10921896265188594,0.625,0.9302325581395349,,,
335,111032,2680,0.09603272814024544,0.875,0.9661016949152542,,,
336,111296,2688,0.12475896054058352,0.75,0.9230769230769231,,,
337,111752,2696,0.10167101335192948,0.875,0.9824561403508771,,,
338,112016,2704,0.12258038080268532,0.75,0.9615384615384616,,,
339,112216,2712,0.18272881831674492,0.875,0.9565217391304348,,,
340,112608,2720,0.093531200697898,0.75,0.9692307692307692,,,
341,113128,2728,0.09704177927615945,0.625,0.9347826086956522,,,
342,113456,2736,0.23008895218521674,0.625,0.8979591836734694,,,
343,113720,2744,0.11813607938189251,0.5,0.9384615384615385,,,
344,114048,2752,0.1283487234007083,0.625,0.9473684210526315,,,
345,114440,2760,0.10859533434621749,0.625,0.9491525423728814,,,
346,114704,2768,0.11709246434803336,1.0,1.0,,,
347,115160,2776,0.13962832353764237,0.5,0.9215686274509803,,,
348,115488,2784,0.12230857351609019,0.625,0.9387755102040817,,,
349,115816,2792,0.08048312721748288,0.875,0.984375,,,
350,116272,2800,0.08746945464892134,0.875,0.9803921568627451,,,
351,116536,2808,0.11858955505621652,0.75,0.9622641509433962,,,
352,116992,2816,0.07783754039070731,0.625,0.9411764705882353,,,
353,117320,2824,0.11914103901968928,0.75,0.9565217391304348,,,
354,117776,2832,0.07068548946233762,0.875,0.9772727272727273,,,
355,118104,2840,0.11430126809095839,0.75,0.9615384615384616,,,
356,118368,2848,0.1469648957950472,0.5,0.9024390243902439,,,
357,118760,2856,0.09248781976507464,0.75,0.9615384615384616,,,
358,119152,2864,0.13051196720119929,0.625,0.9322033898305084,,,
359,119352,2872,0.12209064607805449,0.75,0.9545454545454546,,,
360,119744,2880,0.1623781081052343,0.375,0.9137931034482759,,,
361,120008,2888,0.13750433785244098,0.625,0.9454545454545454,,,
362,120336,2896,0.17608728264456205,0.5,0.9215686274509803,,,
363,120600,2904,0.08874681977428055,1.0,1.0,,,
364,121056,2912,0.11012048102097449,0.75,0.9523809523809523,,,
365,121448,2920,0.11068194896760701,0.75,0.9642857142857143,,,
366,121712,2928,0.1317690017138645,0.75,0.9629629629629629,,,
367,122168,2936,0.1271900784713645,0.625,0.953125,,,
368,122496,2944,0.08437556816562505,0.875,0.9821428571428571,,,
369,122760,2952,0.1342070742260688,0.75,0.9555555555555556,,,
370,123088,2960,0.11564886436762208,0.625,0.8974358974358975,,,
371,123352,2968,0.1604946338013747,0.25,0.8805970149253731,,,
372,123808,2976,0.06962313050817913,0.75,0.9583333333333334,,,
373,124200,2984,0.08654227684298993,0.875,0.9811320754716981,,,
374,124400,2992,0.09437645104416864,0.875,0.9838709677419355,,,
375,124792,3000,0.12297610473450078,0.75,0.9622641509433962,,,
376,125056,3008,0.11561797152526908,0.75,0.96,,,
377,125448,3016,0.18868025089465165,0.375,0.9090909090909091,,,
378,125904,3024,0.07737064675188696,0.75,0.9574468085106383,,,
379,126168,3032,0.13659339442778842,0.625,0.9508196721311475,,,
380,126624,3040,0.0989191393551599,0.875,0.9787234042553191,,,
381,126824,3048,0.13336667062146146,0.75,0.9565217391304348,,,
382,127280,3056,0.08006269262359964,0.875,0.9824561403508771,,,
383,127672,3064,0.16607268085677637,0.625,0.9107142857142857,,,
384,128000,3072,0.12425496517400918,0.75,0.9574468085106383,,,
385,128456,3080,0.07820963230668505,0.75,0.9622641509433962,,,
386,128720,3088,0.13185459567395555,0.75,0.9545454545454546,0.11202442877720956,0.625,0.9302325581395349
387,128984,3096,0.16479053661752519,0.625,0.9361702127659575,,,
388,129248,3104,0.1730981064832136,0.5,0.9285714285714286,,,
389,129576,3112,0.12543745637613482,0.625,0.9333333333333333,,,
390,129904,3120,0.1313610626948275,0.5,0.9259259259259259,,,
391,130168,3128,0.14052515937346968,0.625,0.9361702127659575,,,
392,130688,3136,0.07047929454614446,0.875,0.9782608695652174,,,
393,130952,3144,0.08270369711634587,0.875,0.9791666666666666,,,
394,131152,3152,0.13242627518099162,0.875,0.9803921568627451,,,
395,131352,3160,0.11833561175445008,0.875,0.9818181818181818,,,
396,131744,3168,0.07999243183788185,0.75,0.9661016949152542,,,
397,132072,3176,0.10995108287078952,0.875,0.9859154929577465,,,
398,132464,3184,0.10059504571828981,0.75,0.9629629629629629,,,
399,132664,3192,0.1949444505579867,0.625,0.9259259259259259,,,
400,132864,3200,0.1535558857797393,0.625,0.9,,,
401,133128,3208,0.11984141905208291,0.875,0.9855072463768116,,,
402,133392,3216,0.10530132473769825,0.875,0.9803921568627451,,,
403,133912,3224,0.06947872968873589,0.875,0.9824561403508771,,,
404,134112,3232,0.14801283333984638,0.75,0.9545454545454546,,,
405,134632,3240,0.09423988241913338,0.625,0.9508196721311475,,,
406,135088,3248,0.06790611588081309,1.0,1.0,,,
407,135416,3256,0.15449061452189428,0.5,0.8913043478260869,,,
408,135616,3264,0.13787116379029793,0.5,0.9,,,
409,135880,3272,0.13337965095111814,0.625,0.9423076923076923,,,
410,136272,3280,0.07779669653460163,0.875,0.975,,,
411,136472,3288,0.16185385449278963,0.625,0.9333333333333333,,,
412,136800,3296,0.115209954611598,0.625,0.9361702127659575,,,
413,137128,3304,0.06905623182069323,1.0,1.0,,,
414,137520,3312,0.07250769902212043,0.625,0.9558823529411765,,,
415,137784,3320,0.09920269509451085,0.75,0.96,,,
416,138112,3328,0.1286460277939557,0.75,0.9523809523809523,,,
417,138440,3336,0.12396801018145195,0.625,0.9230769230769231,,,
418,138704,3344,0.13479235057582103,0.5,0.9354838709677419,,,
419,138904,3352,0.12905886920610962,0.75,0.9591836734693877,,,
420,139104,3360,0.12741709425577738,0.75,0.9574468085106383,,,
421,139304,3368,0.13078952838203814,0.875,0.9772727272727273,,,
422,139632,3376,0.11270053842795905,0.75,0.96,,,
423,139960,3384,0.12924917792278395,0.625,0.9333333333333333,,,
424,140288,3392,0.11917546647111976,0.875,0.9841269841269841,,,
425,140552,3400,0.12218562027149601,0.75,0.9375,,,
426,140880,3408,0.14410135457055276,0.5,0.9,,,
427,141208,3416,0.1438700985220953,0.25,0.8723404255319149,,,
428,141472,3424,0.111592616718454,0.875,0.98,,,
